HIP, HD, designation, parallax(mas), parallax_error(mas), distance_gspphot(pc), phot_g_mean_mag, Mg, Plx(mas), e_Plx(mas), distance_Plx(pc), Vmag, MV, B_menos_V(mag)
98811,\N,"Gaia DR3 6427708902553822592",77,7939753829574,0,039576568,12,8497,10,34347,9,79819982561374,\N,\N,\N,11,35,\N,1,48
7635,\N,"Gaia DR3 409824168780424832",75,8855894703321,0,021603774,13,1682,10,8970585,10,297855060129,\N,\N,\N,11,24,\N,1,4
76316,\N,"Gaia DR3 1209281375431039104",66,8775243350222,0,029177222,14,9811,11,349645,10,4760459403113,\N,\N,\N,12,41,\N,1,59
91557,\N,"Gaia DR3 4155146598548456064",56,2565584032817,0,01593159,17,7806,10,638169,9,38903479945677,29,7,13,06,33,67,11,49,8,85378224658606,1,542
52621,\N,"Gaia DR3 3554395813252625920",53,1717785758267,0,021719787,18,861,10,290991,8,91939693771424,-7,21,25,22,-138,6963,11,03,\N,1,428
3856,\N,"Gaia DR3 4902689745157488128",51,1728804431588,0,019810503,19,5376,11,1648445,9,71004381716089,\N,\N,\N,13,26,\N,1,543
13716,\N,"Gaia DR3 459661938487951360",49,3120460067927,0,02126386,20,3092,10,630822,9,09558711111705,30,94,9,86,32,3206,10,99,8,44260154681675,1,384
105679,\N,"Gaia DR3 6575581564623343872",44,9107315807546,0,027530255,22,3047,11,472946,9,73469664815893,37,22,4,7,26,8673,12,45,10,3038818439737,1,52
115125,"219834B","Gaia DR3 2411855072801159040",44,5697976084601,0,029276362,22,4207,7,356538,5,60174130979273,\N,\N,\N,5,19,\N,0,895
18465,\N,"Gaia DR3 252151693092703872",44,3952142466975,0,018707583,22,5857,10,120527,8,35720778094776,29,23,12,89,34,2114,10,86,8,18914407678718,1,43
107376,\N,"Gaia DR3 1973094614149871872",43,6404129261625,0,015270062,22,8366,10,513817,8,7132612561793,37,05,2,5,26,9906,11,43,9,27394106157674,\N
